offer_id,price_segment,price_rub,pred_rub,residual_rub
330337636,comfort,70000,78318.99260147903,-8318.992601479025
330756782,comfort,65000,71220.14126426211,-6220.141264262114
273507979,premium,85000,97957.83272643216,-12957.832726432156
330536490,comfort,65000,59343.48717203884,5656.51282796116
289350189,business,45000,45943.072547347976,-943.0725473479761
330902401,econom,85000,97551.85046031346,-12551.850460313464
327136205,premium,120000,161252.9464147871,-41252.94641478709
330837251,econom,55000,63447.63464637536,-8447.634646375358
321031526,econom,65000,98137.7449445318,-33137.744944531805
330596043,business,115000,74172.61496786532,40827.38503213468
330942239,comfort,50000,48200.23731086245,1799.7626891375476
325434313,comfort,38000,40949.65172529333,-2949.6517252933336
317765313,comfort,58000,56054.18437198842,1945.81562801158
324914587,comfort,180000,184608.21177910364,-4608.2117791036435
326557942,business,185000,193942.02205700445,-8942.022057004448
323414130,comfort,90000,87998.71750377878,2001.282496221218
330622814,comfort,65000,62462.53303120648,2537.4669687935166
330617142,business,130000,68369.23012293938,61630.76987706062
330317633,comfort,53800,60340.63686623791,-6540.63686623791
329905805,premium,80000,77127.76151789175,2872.2384821082524
330846382,business,120000,154009.89500573254,-34009.89500573254
327669428,premium,180000,148420.84345652815,31579.15654347185
330624887,premium,150000,151002.53289455868,-1002.5328945586807
299845079,premium,60000,74766.86387880183,-14766.863878801829
329777188,business,50000,48135.97231497427,1864.0276850257287
329132938,premium,350000,379087.9024604801,-29087.90246048011
330603659,business,120000,87963.38220388936,32036.617796110644
329757947,premium,160000,202517.7257375852,-42517.72573758519
330765676,comfort,50000,48027.02048244293,1972.979517557069
329286565,premium,145000,155991.1348955989,-10991.134895598894
330825528,comfort,47000,51460.87570713375,-4460.875707133753
330774764,premium,135000,152279.8978760275,-17279.897876027506
330442200,premium,200000,148791.48542969098,51208.514570309024
329363239,premium,85000,64803.62752263668,20196.372477363322
269460199,business,75000,76341.396957572,-1341.3969575719966
330608908,premium,150000,139173.3117883318,10826.688211668195
327970234,comfort,56000,49418.52388851999,6581.476111480013
328036295,econom,55000,87262.31867353909,-32262.318673539092
290935975,business,66000,80276.37149965875,-14276.371499658751
330755673,econom,42000,47467.40027867065,-5467.400278670648
320953573,premium,220000,158023.6176438923,61976.3823561077
327358545,premium,150000,168327.97207410666,-18327.972074106656
329143137,econom,45000,53089.532048997295,-8089.532048997295
330813591,business,202500,250817.53614409367,-48317.53614409367
330477314,comfort,68000,58929.38878000591,9070.61121999409
330622835,business,53000,48438.30790820862,4561.692091791381
329391671,econom,57000,62412.08857923435,-5412.088579234347
330802328,comfort,100000,87887.76319638787,12112.236803612133
320758675,comfort,100000,79034.51857967518,20965.481420324824
329855456,business,75000,67410.2641680696,7589.735831930404
330928229,premium,120000,109143.2466159008,10856.753384099196
314060940,econom,80000,88282.7659194447,-8282.765919444704
302132777,econom,55000,65917.65136651522,-10917.651366515216
